user_id,user_conv_rate
00062,0.0
00067,0.0
00095,0.0
0023e,0.0
00336,0.02
003a2,0.0
00468,0.0
004a5,0.0
00545,0.037037037037037035
00559,0.0
00567,0.025
0058e,0.0
006b2,0.027777777777777776
006c4,0.0
006ce,0.0
0073a,0.02631578947368421
0078e,0.0
007b8,0.0
007fb,0.022727272727272728
00894,0.0
008c5,0.0
008fe,0.0
0091b,0.0
009c3,0.0
009f1,0.0
00a0f,0.0
00a3d,0.0
00ad4,0.0
00b03,0.0
00b85,0.0
00b86,0.0
00bbf,0.0
00c9a,0.0
00cf9,0.0
00d31,0.023809523809523808
00d58,0.0
00ddd,0.0
00e10,0.0
00e2d,0.0
00e6c,0.0
00e8d,0.02631578947368421
00ea7,0.0
00eb6,0.0
00ecc,0.0
00f39,0.0
00f82,0.0392156862745098
00faf,0.0
01029,0.0
01049,0.017857142857142856
01062,0.05128205128205128
01095,0.0
0109a,0.0
010ef,0.0
010f5,0.0
0110c,0.0
01111,0.024390243902439025
0112d,0.0
01187,0.0
011b8,0.0
01239,0.0
0124f,0.0
012d4,0.0
012e0,0.0
01320,0.0
013e7,0.0
013fe,0.0
01440,0.02702702702702703
014e9,0.0
014ef,0.0
01512,0.05
01549,0.0
0156a,0.0
01585,0.02702702702702703
0162f,0.0
016d8,0.0
01816,0.0
01820,0.0
01863,0.018867924528301886
018cf,0.0
018d2,0.0
019fd,0.022222222222222223
01a37,0.0
01ad7,0.0
01b2c,0.0
01b97,0.0
01bd0,0.0
01c05,0.0
01c80,0.0
01ca6,0.0
01da6,0.0
01ddf,0.0
01e10,0.0
01e28,0.0
01e33,0.030303030303030304
01eff,0.022727272727272728
01f58,0.025
0203d,0.0
0205d,0.0
02082,0.0
02108,0.0
02132,0.0
021cc,0.043478260869565216
0225b,0.0
02272,0.0
0232d,0.0
0236e,0.0
02398,0.0
023cc,0.0
02460,0.0
025ae,0.0
025e1,0.0
02600,0.02
026fc,0.034482758620689655
0271f,0.0
02726,0.020833333333333332
0276b,0.0
027c7,0.0
02859,0.0
0287b,0.0
02929,0.0
02943,0.0
02955,0.0
0297c,0.0
029d1,0.0
02a07,0.0
02ad5,0.0
02aea,0.0
02b50,0.0
02ba5,0.03225806451612903
02cf5,0.0
02d0d,0.0
02d20,0.0
02e0f,0.0
02e21,0.0
02e39,0.0
02f27,0.0
02fb8,0.0
02fe9,0.0
0301e,0.034482758620689655
03024,0.0
03028,0.0
0308a,0.0
030cb,0.0
030dc,0.0
031ba,0.0
031dc,0.0
0320f,0.0
03283,0.0
